CPUE CALL CLLL Survey surveyCALL surveyCLLL surveynosexCLLL negpen Priorlike f 
0 -412.003 0 6.63272 -254.033 0 0 0 4.94652 -654.457
0 -395.358 0 7.53503 -248.722 0 0 0 6.4132 -630.132
0 -395.354 0 7.36062 -248.612 0 0 0 7.00638 -629.599
0 -399.136 0 12.4265 -251.963 0 0 0 5.88911 -632.783
0 -394.29 0 7.84397 -251.676 0 0 0 7.07151 -631.05
0 -395.262 0 7.64363 -252.285 0 0 0 6.62013 -633.283
0 -396.516 0 9.51567 -253.67 0 0 0 5.71121 -634.959
0 -401.444 0 8.12078 -250.942 0 0 0 5.27986 -638.986
0 -396.666 0 7.7002 -250.287 0 0 0 5.83159 -633.421
0 -393.617 0 7.76326 -249.934 0 0 0 5.79457 -629.994
0 -393.636 0 9.18881 -250.511 0 0 0 6.60435 -628.354
0 -392.48 0 8.82955 -244.008 0 0 0 5.5508 -622.108
0 -397.952 0 10.5981 -249.531 0 0 0 5.57198 -631.313
0 -392.897 0 8.52057 -249.284 0 0 0 6.7012 -626.959
0 -395.739 0 8.84394 -247.93 0 0 0 5.26696 -629.558
0 -391.005 0 8.379 -249.767 0 0 0 9.06496 -623.328
0 -392.883 0 9.75598 -249.109 0 0 0 8.9194 -623.317
0 -397.34 0 8.80358 -250.73 0 0 0 6.74498 -632.521
0 -394.502 0 6.80652 -251.866 0 0 0 7.76701 -631.794
0 -394.153 0 6.81864 -253.135 0 0 0 9.07835 -631.391
0 -397.646 0 6.3399 -251.099 0 0 0 7.28439 -635.121
0 -397.962 0 6.75024 -250.886 0 0 0 7.98869 -634.108
0 -398.778 0 5.71622 -247.344 0 0 0 7.38708 -633.018
0 -393.431 0 5.71194 -240.216 0 0 0 8.12888 -619.806
0 -400.49 0 6.52183 -247.312 0 0 0 8.3953 -632.885
0 -398.896 0 5.51076 -244.143 0 0 0 6.30464 -631.224
0 -398.116 0 6.18299 -243.281 0 0 0 7.62432 -627.59
0 -394.275 0 6.51347 -248.649 0 0 0 6.23961 -630.171
0 -395.506 0 7.25855 -250.575 0 0 0 8.25761 -630.565
0 -392.222 0 6.21279 -246.815 0 0 0 7.70399 -625.12
0 -393.826 0 6.69439 -250.597 0 0 0 8.07737 -629.652
0 -394.13 0 6.50583 -246.747 0 0 0 8.93175 -625.44
0 -392.754 0 6.04675 -245.02 0 0 0 7.81923 -623.908
0 -395.805 0 6.77111 -246.024 0 0 0 7.42965 -627.628
0 -397.745 0 5.95137 -247.018 0 0 0 6.15888 -632.652
0 -397.226 0 6.36523 -242.306 0 0 0 6.42468 -626.742
0 -400.517 0 6.18559 -244.421 0 0 0 8.36325 -630.389
0 -399.442 0 6.12258 -243.761 0 0 0 8.77914 -628.301
0 -399.899 0 5.25035 -247.243 0 0 0 7.59336 -634.298
0 -397.607 0 6.48365 -246.53 0 0 0 7.52544 -630.128
0 -394.361 0 6.4853 -247.843 0 0 0 9.35555 -626.363
0 -392.929 0 7.76804 -247.908 0 0 0 7.89132 -625.178
0 -390.437 0 5.94852 -249.463 0 0 0 6.7496 -627.202
0 -396.465 0 7.12626 -248.732 0 0 0 6.26122 -631.809
0 -395.902 0 7.42522 -248.807 0 0 0 6.80247 -630.482
0 -395.828 0 7.26123 -251.127 0 0 0 8.71739 -630.976
0 -395.202 0 7.81914 -252.242 0 0 0 12.919 -626.706
0 -394.723 0 9.59726 -251.038 0 0 0 8.80442 -627.359
0 -396.68 0 8.67597 -254.076 0 0 0 7.20197 -634.878
0 -394.461 0 8.93596 -252.063 0 0 0 8.45759 -629.13
0 -395.589 0 8.1109 -251.321 0 0 0 6.76566 -632.034
0 -395.591 0 5.75376 -243.016 0 0 0 5.84497 -627.008
0 -394.535 0 6.70121 -246.84 0 0 0 7.03782 -627.636
0 -397.051 0 7.82569 -248.42 0 0 0 6.47483 -631.171
0 -395.977 0 7.02734 -248.607 0 0 0 6.53459 -631.022
0 -396.382 0 9.5997 -252.202 0 0 0 8.77517 -630.208
0 -398.173 0 7.18156 -251.269 0 0 0 9.40066 -632.86
0 -398.279 0 7.57168 -248.97 0 0 0 7.23923 -632.438
0 -398.525 0 7.21282 -250.47 0 0 0 6.71624 -635.066
0 -400.025 0 6.92945 -244.601 0 0 0 7.02727 -630.67
0 -402.87 0 7.02192 -247.138 0 0 0 7.1653 -635.821
0 -399.329 0 8.05734 -248.677 0 0 0 7.83405 -632.114
0 -399.075 0 10.998 -249.194 0 0 0 8.0449 -629.226
0 -398.553 0 10.1619 -245.711 0 0 0 7.17414 -626.928
0 -397.263 0 10.0159 -246.574 0 0 0 6.98274 -626.838
0 -400.819 0 8.76783 -248.315 0 0 0 6.55326 -633.814
0 -399.932 0 7.09385 -244.24 0 0 0 6.85519 -630.223
0 -399.509 0 6.69735 -245.283 0 0 0 5.70679 -632.388
0 -403.187 0 8.01485 -247.369 0 0 0 6.03732 -636.503
0 -402.201 0 9.08122 -246.713 0 0 0 6.75507 -633.078
0 -397.61 0 8.77672 -248.21 0 0 0 6.73375 -630.309
0 -391.722 0 9.91153 -249.041 0 0 0 6.10833 -624.743
0 -399.194 0 10.6919 -245.885 0 0 0 7.74309 -626.644
0 -403.438 0 8.95222 -250.26 0 0 0 9.23936 -635.507
0 -391.938 0 6.8325 -250.377 0 0 0 9.02061 -626.462
0 -399.031 0 8.07374 -248.937 0 0 0 9.21191 -630.682
0 -402.521 0 10.2691 -248.333 0 0 0 7.93298 -632.652
0 -397.195 0 10.1613 -253.299 0 0 0 8.37188 -631.961
0 -398.506 0 10.8607 -252.353 0 0 0 10.174 -629.824
0 -398.777 0 7.2113 -252.96 0 0 0 6.38536 -638.14
0 -394.695 0 6.33202 -251.13 0 0 0 6.79179 -632.701
0 -399.237 0 6.98035 -250.256 0 0 0 7.53648 -634.976
0 -397.882 0 9.04174 -247.906 0 0 0 7.08048 -629.666
0 -397.666 0 5.66128 -247.295 0 0 0 6.90801 -632.392
0 -397.66 0 8.52445 -246.995 0 0 0 6.60753 -629.523
0 -400.071 0 7.53994 -250.25 0 0 0 5.98215 -636.799
0 -393.076 0 7.76002 -249.297 0 0 0 7.17861 -627.434
0 -392.641 0 8.67237 -246.535 0 0 0 6.97932 -623.524
0 -397.781 0 8.596 -248.226 0 0 0 7.10968 -630.301
0 -400.814 0 7.54084 -247.051 0 0 0 7.76901 -632.556
0 -398.93 0 5.67666 -247.825 0 0 0 6.07814 -635
0 -396.654 0 5.70729 -246.981 0 0 0 6.65619 -631.271
0 -397.711 0 7.9565 -247.377 0 0 0 5.772 -631.359
0 -391.379 0 6.34949 -247.143 0 0 0 6.49688 -625.675
0 -382.365 0 4.97983 -246.375 0 0 0 7.65199 -616.109
0 -390.407 0 6.06794 -247.518 0 0 0 8.4155 -623.441
0 -399.739 0 6.08581 -251.734 0 0 0 8.09477 -637.292
0 -403.866 0 7.48608 -246.326 0 0 0 7.86643 -634.84
0 -402.867 0 8.13463 -253.28 0 0 0 6.49889 -641.514
0 -398.545 0 8.37159 -251.215 0 0 0 6.91964 -634.469
0 -398.24 0 7.24991 -251.018 0 0 0 6.90207 -635.106
0 -394.086 0 10.8117 -247.097 0 0 0 8.34512 -622.026
