 Catch_2004_1 Catch_2005_1 Catch_2006_1 Catch_2007_1  Catch_2004_2 Catch_2005_2 Catch_2006_2 Catch_2007_2  Catch_2004_3 Catch_2005_3 Catch_2006_3 Catch_2007_3  Catch_2004_4 Catch_2005_4 Catch_2006_4 Catch_2007_4  Catch_2004_5 Catch_2005_5 Catch_2006_5 Catch_2007_5  Catch_2004_6 Catch_2005_6 Catch_2006_6 Catch_2007_6  Catch_2004_7 Catch_2005_7 Catch_2006_7 Catch_2007_7  Catch_2004_8 Catch_2005_8 Catch_2006_8 Catch_2007_8  Catch_2004_9 Catch_2005_9 Catch_2006_9 Catch_2007_9  Catch_2004_10 Catch_2005_10 Catch_2006_10 Catch_2007_10  Catch_2004_11 Catch_2005_11 Catch_2006_11 Catch_2007_11  Catch_2004_12 Catch_2005_12 Catch_2006_12 Catch_2007_12  
 0 0 0 0  38699.2 50208.1 55658.1 0  77398.4 96235.9 101992 0  116098 138083 139661 0  154797 175751 169324 0  193496 209237 191639 0  232195 238544 207265 0  270894 263670 216860 0  309594 284616 221085 0  348293 301382 220597 0  386992 313967 216054 0  425691 322372 208117 0 
 0 0 0 0  34606.2 43418.1 55413 0  69212.4 83070.6 102623 0  103819 118957 142226 0  138425 151079 174819 0  173031 179434 200998 0  207637 204024 221361 0  242243 224849 236502 0  276850 241908 247020 0  311456 255201 253511 0  346062 264729 256571 0  380668 270491 256796 0 
 0 0 0 0  28772 40681.1 52622 0  57544 78218.3 97891.1 0  86316 112612 136310 0  115088 143861 168383 0  143860 171967 194611 0  172632 196929 215498 0  201404 218747 231548 0  230176 237421 243262 0  258948 252951 251145 0  287720 265338 255698 0  316492 274580 257426 0 
 0 0 0 0  30397.6 41214.1 47932.1 0  60795.1 79174.8 88330.5 0  91192.7 113882 121709 0  121590 145336 148583 0  151988 173536 169466 0  182385 198483 184873 0  212783 220176 195317 0  243180 238616 201314 0  273578 253802 203376 0  303976 265735 202020 0  334373 274415 197759 0 
 0 0 0 0  36566.4 46628.1 60745.3 0  73132.9 89339 112824 0  109699 128133 156850 0  146266 163009 193439 0  182832 193969 223204 0  219399 221011 246760 0  255965 244136 264721 0  292531 263344 277702 0  329098 278634 286317 0  365664 290008 291181 0  402231 297464 292908 0 
 0 0 0 0  37907.1 48758.1 60220.3 0  75814.2 93459.2 111523 0  113721 134103 154543 0  151628 170690 189913 0  189536 203220 218270 0  227443 231693 240247 0  265350 256109 256479 0  303257 276468 267600 0  341164 292770 274244 0  379071 305015 277047 0  416978 313203 276643 0 
 0 0 0 0  40870 57597.1 66264.6 0  81740 110852 122145 0  122610 159766 168327 0  163480 204337 205497 0  204350 244566 234341 0  245220 280454 255546 0  286090 311999 269799 0  326960 339203 277784 0  367830 362064 280190 0  408700 380584 277702 0  449570 394762 271006 0 
 0 0 0 0  35785.2 51333.7 72202.7 0  71570.5 98822.5 135391 0  107356 142467 190173 0  143141 182266 237160 0  178926 218220 276958 0  214711 250330 310178 0  250497 278595 337428 0  286282 303015 359318 0  322067 323590 376456 0  357852 340320 389451 0  393638 353206 398912 0 
 0 0 0 0  44056.8 61611.3 78788.8 0  88113.7 118482 146402 0  132171 170611 203596 0  176227 218000 251124 0  220284 260648 289742 0  264341 298555 320205 0  308398 331721 343267 0  352455 360146 359685 0  396512 383830 370212 0  440568 402773 375603 0  484625 416976 376615 0 
 0 0 0 0  37496.3 50006 61113.4 0  74992.6 95979.5 113061 0  112489 137920 156482 0  149985 175829 192017 0  187482 209705 220304 0  224978 239548 241982 0  262474 265359 257692 0  299971 287137 268072 0  337467 304883 273763 0  374963 318596 275402 0  412459 328277 273630 0 
 0 0 0 0  40944.6 52080.2 62157.1 0  81889.1 99833.3 114842 0  122834 143259 158726 0  163778 182358 194482 0  204723 217130 222782 0  245667 247575 244298 0  286612 273692 259701 0  327557 295483 269665 0  368501 312946 274860 0  409446 326082 275960 0  450390 334892 273635 0 
 0 0 0 0  36808.4 50594 56688.4 0  73616.8 97224.9 104115 0  110425 139893 142909 0  147234 178597 173700 0  184042 213339 197117 0  220850 244118 213789 0  257659 270933 224346 0  294467 293786 229418 0  331275 312675 229633 0  368084 327601 225621 0  404892 338565 218012 0 
 0 0 0 0  46018.2 61064.8 68145.9 0  92036.3 117131 124937 0  138054 168198 171170 0  184073 214267 207641 0  230091 255336 235144 0  276109 291407 254476 0  322127 322479 266433 0  368145 348552 271811 0  414163 369627 271405 0  460182 385702 266012 0  506200 396779 256427 0 
 0 0 0 0  40248.3 52361.6 64108.2 0  80496.6 100381 118585 0  120745 144059 164115 0  160993 183395 201383 0  201241 218388 231072 0  241490 249040 253867 0  281738 275349 270452 0  321986 297317 281511 0  362235 314943 287729 0  402483 328226 289790 0  442731 337168 288378 0 
 0 0 0 0  38870.8 51407.4 63698.8 0  77741.6 98624.6 118074 0  116612 141652 163782 0  155483 180488 201480 0  194354 215135 231824 0  233225 245592 255471 0  272096 271858 273077 0  310966 293934 285300 0  349837 311820 292796 0  388708 325515 296221 0  427579 335021 296233 0 
 0 0 0 0  31111.2 42752 53856.7 0  62222.3 82110.5 99990 0  93333.5 118076 138937 0  124445 150647 171236 0  155556 179825 197423 0  186667 205610 218037 0  217778 228001 233613 0  248889 246998 244691 0  280000 262603 251806 0  311112 274813 255497 0  342223 283631 256300 0 
 0 0 0 0  48482.3 63089.1 73815.3 0  96964.7 120971 136111 0  145447 173646 187701 0  193929 221115 229399 0  242412 263376 262019 0  290894 300430 286375 0  339376 332278 303282 0  387859 358918 313553 0  436341 380352 318002 0  484823 396578 317443 0  533306 407598 312690 0 
 0 0 0 0  45669.8 64560.6 81080.6 0  91339.5 124214 150613 0  137009 178962 209374 0  182679 228802 258140 0  228349 273736 297686 0  274019 313762 328789 0  319688 348883 352225 0  365358 379096 368769 0  411028 404403 379199 0  456698 424803 384289 0  502367 440296 384817 0 
 0 0 0 0  50893.8 70465.9 91112.2 0  101788 135478 169642 0  152681 195038 236450 0  203575 249144 292397 0  254469 297796 338343 0  305363 340996 375150 0  356257 378742 403677 0  407151 411035 424786 0  458044 437874 439337 0  508938 459260 448190 0  559832 475193 452207 0 
 0 0 0 0  49387.8 64348.5 76773.2 0  98775.5 123436 141749 0  148163 177263 195756 0  197551 225830 239622 0  246939 269136 274175 0  296327 307181 300244 0  345714 339966 318656 0  395102 367490 330239 0  444490 389753 335822 0  493878 406756 336232 0  543265 418498 332298 0 
 0 0 0 0  30018.3 42028.8 53457.9 0  60036.6 80843.4 99315.2 0  90054.9 116444 138082 0  120073 148830 170269 0  150091 178003 196387 0  180110 203961 216946 0  210128 226705 232456 0  240146 246235 243427 0  270165 262551 250371 0  300183 275653 253797 0  330201 285541 254216 0 
 0 0 0 0  32040.7 45494.9 59049.6 0  64081.5 87565 110013 0  96122.2 126210 153430 0  128163 161431 189845 0  160204 193226 219797 0  192244 221597 243828 0  224285 246543 262479 0  256326 268064 276293 0  288367 286160 285810 0  320407 300832 291573 0  352448 312078 294121 0 
 0 0 0 0  42436.6 57194.1 74570.9 0  84873.3 109816 138774 0  127310 157865 193329 0  169747 201342 238960 0  212183 240247 276388 0  254620 274579 306334 0  297056 304338 329519 0  339493 329526 346667 0  381930 350140 358498 0  424366 366183 365734 0  466803 377653 369096 0 
 0 0 0 0  40940.3 52940.9 62459.9 0  81880.5 101487 115129 0  122821 145639 158699 0  163761 185396 193861 0  204701 220758 221306 0  245642 251726 241726 0  286582 278300 255812 0  327522 300478 264256 0  368462 318262 267749 0  409403 331652 266982 0  450343 340647 262646 0 
 0 0 0 0  37332.7 50491 58433.1 0  74665.5 97018.6 107619 0  111998 139583 148183 0  149331 178184 180752 0  186664 212821 205952 0  223996 243496 224410 0  261329 270207 236752 0  298662 292954 243603 0  335995 311739 245591 0  373327 326560 243342 0  410660 337417 237481 0 
 0 0 0 0  39444.7 54548.8 62038.3 0  78889.4 104877 114091 0  118334 150984 156829 0  157779 192870 190924 0  197223 230535 217046 0  236668 263979 235865 0  276113 293202 248054 0  315558 318205 254282 0  355002 338986 255221 0  394447 355547 251542 0  433892 367886 243915 0 
 0 0 0 0  41167.4 54950.1 60439.7 0  82334.9 105508 110772 0  123502 151673 151689 0  164670 193445 183884 0  205837 230825 208049 0  247005 263812 224878 0  288172 292407 235062 0  329340 316609 239294 0  370507 336419 238267 0  411674 351836 232673 0  452842 362861 223206 0 
 0 0 0 0  41230.5 52522.5 58522.5 0  82461 100627 107238 0  123691 144314 146843 0  164922 183582 178034 0  206152 218433 201506 0  247383 248866 217956 0  288613 274881 228079 0  329844 296478 232573 0  371074 313656 232133 0  412305 326417 227454 0  453535 334761 219235 0 
 0 0 0 0  40909.6 50858.4 54885.9 0  81819.2 97286.5 100098 0  122729 139284 136339 0  163638 176852 164311 0  204548 209989 184716 0  245458 238695 198258 0  286367 262972 205638 0  327277 282818 207559 0  368187 298234 204723 0  409096 309219 197833 0  450006 315774 187591 0 
 0 0 0 0  43002.1 54091.2 64798.3 0  86004.3 103559 119451 0  129006 148404 164687 0  172009 188625 201234 0  215011 224223 229820 0  258013 255198 251173 0  301015 281549 266022 0  344017 303278 275094 0  387019 320383 279117 0  430021 332864 278821 0  473023 340723 274932 0 
 0 0 0 0  53681.8 69793.6 80645.4 0  107364 133762 148355 0  161045 191904 204052 0  214727 244222 248657 0  268409 290714 283092 0  322091 331380 308279 0  375772 366221 325140 0  429454 395237 334597 0  483136 418427 337572 0  536818 435792 334987 0  590499 447331 327762 0 
 0 0 0 0  55923.1 76700 85562.5 0  111846 147295 156951 0  167769 211786 215141 0  223692 270173 261108 0  279615 322455 295829 0  335538 368632 320279 0  391462 408705 335435 0  447385 442673 342271 0  503308 470537 341765 0  559231 492296 334891 0  615154 507951 322626 0 
 0 0 0 0  58178.5 74242.8 81096.8 0  116357 142216 148324 0  174535 203919 202671 0  232714 259352 245124 0  290892 308515 276673 0  349071 351409 298304 0  407249 388033 311005 0  465428 418386 315766 0  523606 442470 313573 0  581785 460284 305415 0  639963 471829 292280 0 
 0 0 0 0  52311.6 69933.5 89942.3 0  104623 134202 166973 0  156935 192807 231987 0  209246 245747 285881 0  261558 293022 329550 0  313870 334634 363890 0  366181 370580 389795 0  418493 400862 408162 0  470805 425480 419886 0  523116 444433 425863 0  575428 457721 426989 0 
 0 0 0 0  57834.2 78119.1 88154.1 0  115668 149970 161949 0  173503 215553 222376 0  231337 274867 270427 0  289171 327913 307093 0  347005 374692 333365 0  404839 415201 350236 0  462673 449443 358696 0  520508 477417 359737 0  578342 499122 354351 0  636176 514559 343528 0 
 0 0 0 0  47283.1 61255.1 72001.9 0  94566.1 117381 132605 0  141849 168379 182620 0  189132 214248 222855 0  236415 254988 254121 0  283698 290600 277228 0  330982 321083 292985 0  378265 346437 302202 0  425548 366662 305689 0  472831 381759 304257 0  520114 391727 298713 0 
 0 0 0 0  38975.2 53480.8 64177.1 0  77950.4 102744 118560 0  116926 147791 163820 0  155901 188620 200628 0  194876 225233 229653 0  233851 257628 251567 0  272826 285806 267039 0  311801 309766 276742 0  350777 329510 281344 0  389752 345037 281518 0  428727 356346 277933 0 
 0 0 0 0  43335.9 57964.4 68913.5 0  86671.9 111275 127232 0  130008 159932 175687 0  173344 203935 215013 0  216680 243284 245941 0  260016 277980 269206 0  303352 308021 285540 0  346687 333409 295675 0  390023 354143 300344 0  433359 370223 300281 0  476695 381650 296218 0 
 0 0 0 0  44363.3 62052.2 72491.1 0  88726.5 119347 133727 0  133090 171885 184461 0  177453 219665 225446 0  221816 262688 257434 0  266180 300953 281178 0  310543 334461 297431 0  354906 363212 306945 0  399269 387206 310475 0  443633 406442 308771 0  487996 420920 302588 0 
 0 0 0 0  39847.2 55156 62910.7 0  79694.3 106071 115877 0  119541 152746 159565 0  159389 195180 194640 0  199236 233373 221769 0  239083 267325 241617 0  278930 297037 254851 0  318777 322508 262135 0  358624 343738 264137 0  398472 360728 261522 0  438319 373477 254955 0 
 0 0 0 0  38653.3 52641.7 62619.6 0  77306.5 101185 115755 0  115960 145631 160048 0  154613 185979 196138 0  193266 222228 224667 0  231920 254380 246275 0  270573 282433 261603 0  309226 306388 271291 0  347879 326245 275981 0  386533 342005 276313 0  425186 353666 272928 0 
 0 0 0 0  43717 61256.2 73836.7 0  87434 117837 136712 0  131151 169743 189361 0  174868 216973 232518 0  218585 259529 266918 0  262302 297409 293294 0  306019 330614 312382 0  349736 359143 324917 0  393453 382997 331631 0  437170 402176 333261 0  480887 416680 330541 0 
 0 0 0 0  38098.6 52093.8 60806.8 0  76197.2 100076 112167 0  114296 143947 154727 0  152394 183707 189136 0  190493 219356 216041 0  228592 250893 236090 0  266690 278319 249930 0  304789 301634 258209 0  342888 320838 261575 0  380986 335930 260675 0  419085 346911 256157 0 
 0 0 0 0  39531.6 52339.8 63466.3 0  79063.2 100441 117401 0  118595 144305 162467 0  158126 183929 199330 0  197658 219316 228654 0  237189 250464 251102 0  276721 277374 267339 0  316253 300046 278029 0  355784 318480 283836 0  395316 332675 285424 0  434847 342632 283457 0 
 0 0 0 0  38810.2 50457.8 59245.4 0  77620.3 96781.2 109262 0  116430 138970 150695 0  155241 177025 184190 0  194051 210945 210393 0  232861 240732 229949 0  271671 266383 243503 0  310481 287901 251701 0  349291 305284 255189 0  388102 318533 254611 0  426912 327647 250614 0 
 0 0 0 0  43911.4 54791 62931.6 0  87822.8 104881 115667 0  131734 150271 158941 0  175646 190959 193489 0  219557 226947 220047 0  263468 258233 239348 0  307380 284819 252129 0  351291 306705 259125 0  395202 323889 261070 0  439114 336372 258700 0  483025 344155 252749 0 
 0 0 0 0  40824 55555.8 67571.6 0  81647.9 106710 125048 0  122472 153463 173124 0  163296 195814 212495 0  204120 233763 243857 0  244944 267311 267904 0  285768 296457 285331 0  326592 321202 296833 0  367416 341545 303106 0  408240 357487 304845 0  449064 369027 302745 0 
 0 0 0 0  50372 68817.4 105551 0  100744 132190 198503 0  151116 190118 279722 0  201488 242602 350076 0  251860 289641 410430 0  302232 331235 461650 0  352604 367385 504604 0  402976 398090 540156 0  453348 423351 569174 0  503720 443166 592524 0  554092 457538 611072 0 
 0 0 0 0  43053.9 61138.8 81123.8 0  86107.9 117610 151155 0  129162 169415 210839 0  172216 216552 260920 0  215270 259022 302142 0  258324 296825 335251 0  301378 329960 360990 0  344432 358429 380105 0  387485 382230 393340 0  430539 401363 401440 0  473593 415830 405149 0 
 0 0 0 0  33720.6 49385.5 68118.1 0  67441.3 95140.7 127496 0  101162 137266 178710 0  134883 175760 222338 0  168603 210624 258957 0  202324 241858 289143 0  236044 269462 313474 0  269765 293435 332526 0  303486 313777 346877 0  337206 330490 357103 0  370927 343572 363782 0 
 0 0 0 0  28047.3 43146.7 62868 0  56094.6 83255.4 118187 0  84142 120326 166443 0  112189 154359 208122 0  140237 185354 243709 0  168284 213311 273690 0  196331 238230 298551 0  224379 260111 318778 0  252426 278954 334856 0  280473 294759 347272 0  308520 307526 356510 0 
 0 0 0 0  34917.7 51941.8 73402.8 0  69835.4 100163 137885 0  104753 144663 194031 0  139671 185443 242423 0  174588 222502 283646 0  209506 255840 318283 0  244424 285457 346918 0  279342 311354 370135 0  314259 333530 388517 0  349177 351985 402649 0  384095 366720 413113 0 
 0 0 0 0  36485.7 50331.7 62684.5 0  72971.4 96747.3 116266 0  109457 139247 161364 0  145943 177830 198595 0  182429 212498 228578 0  218914 243250 251931 0  255400 270085 269272 0  291886 293005 281220 0  328371 312008 288393 0  364857 327095 291409 0  401343 338267 290887 0 
 0 0 0 0  48763.3 63680.6 83292.7 0  97526.7 122136 154948 0  146290 175367 215781 0  195053 223373 266611 0  243817 266153 308252 0  292580 303709 341523 0  341343 336039 367240 0  390107 363145 386220 0  438870 385025 399279 0  487633 401681 407234 0  536397 413112 410902 0 
 0 0 0 0  39969.5 51433.2 61463.8 0  79939 98604.4 113468 0  119909 141514 156679 0  159878 180161 191761 0  199848 214546 219379 0  239817 244669 240199 0  279787 270531 254884 0  319756 292130 264101 0  359726 309467 268515 0  399695 322543 268790 0  439665 331356 265592 0 
 0 0 0 0  40172.2 53159.3 58271.2 0  80344.4 101953 106684 0  120517 146382 145929 0  160689 186445 176696 0  200861 222143 199676 0  241033 253475 215560 0  281205 280442 225037 0  321377 303043 228799 0  361550 321279 227536 0  401722 335150 221939 0  441894 344655 212697 0 
 0 0 0 0  48347.8 63573.1 71232.1 0  96695.6 121913 130649 0  145043 175019 179077 0  193391 222893 217343 0  241739 265533 246274 0  290087 302939 266697 0  338435 335112 279438 0  386782 362053 285324 0  435130 383759 285183 0  483478 400233 279840 0  531826 411473 270122 0 
 0 0 0 0  48913 69158.4 78713.7 0  97826 133047 144874 0  146739 191666 199317 0  195652 245016 242877 0  244565 293096 276391 0  293478 335906 300693 0  342391 373447 316620 0  391304 405718 325007 0  440217 432720 326690 0  489130 454452 322504 0  538043 470914 313284 0 
 0 0 0 0  44759.5 62392.4 70134.1 0  89519.1 119953 128929 0  134279 172683 177148 0  179038 220580 215558 0  223798 263647 244922 0  268557 301882 266006 0  313317 335285 279574 0  358076 363857 286392 0  402836 387597 287223 0  447595 406506 282833 0  492355 420583 273987 0 
 0 0 0 0  40658.5 58139.4 77451.4 0  81316.9 111867 144326 0  121975 161182 201329 0  162634 206084 249164 0  203292 246575 288538 0  243951 282654 320154 0  284609 314320 344718 0  325268 341574 362934 0  365926 364416 375508 0  406585 382846 383143 0  447243 396863 386546 0 
 0 0 0 0  36996.1 52634.7 62731.1 0  73992.3 101257 115878 0  110988 145867 160082 0  147985 186464 195984 0  184981 223049 224225 0  221977 255621 245446 0  258973 284181 260289 0  295969 308728 269394 0  332965 329263 273402 0  369961 345785 272954 0  406958 358294 268692 0 
 0 0 0 0  39123.9 54173.5 61725.8 0  78247.8 104130 113578 0  117372 149870 156224 0  156496 191393 190335 0  195620 228700 216580 0  234744 261789 235626 0  273867 290662 248144 0  312991 315318 254802 0  352115 335757 256270 0  391239 351980 253216 0  430363 363985 246310 0 
 0 0 0 0  34632.1 47999.7 56603.9 0  69264.2 92225.4 104339 0  103896 132677 143811 0  138528 169355 175627 0  173161 202259 200394 0  207793 231389 218717 0  242425 256746 231203 0  277057 278328 238459 0  311689 296137 241091 0  346321 310171 239704 0  380953 320432 234907 0 
