 Catch_2004_1 Catch_2005_1 Catch_2006_1 Catch_2007_1  Catch_2004_2 Catch_2005_2 Catch_2006_2 Catch_2007_2  Catch_2004_3 Catch_2005_3 Catch_2006_3 Catch_2007_3  Catch_2004_4 Catch_2005_4 Catch_2006_4 Catch_2007_4  Catch_2004_5 Catch_2005_5 Catch_2006_5 Catch_2007_5  Catch_2004_6 Catch_2005_6 Catch_2006_6 Catch_2007_6  Catch_2004_7 Catch_2005_7 Catch_2006_7 Catch_2007_7  Catch_2004_8 Catch_2005_8 Catch_2006_8 Catch_2007_8  Catch_2004_9 Catch_2005_9 Catch_2006_9 Catch_2007_9  Catch_2004_10 Catch_2005_10 Catch_2006_10 Catch_2007_10  Catch_2004_11 Catch_2005_11 Catch_2006_11 Catch_2007_11  Catch_2004_12 Catch_2005_12 Catch_2006_12 Catch_2007_12  
 0 0 0 0  36725.2 49904.9 61206.9 0  73450.5 95852.5 113315 0  110176 137843 156950 0  146901 175875 192739 0  183626 209951 221308 0  220351 240069 243282 0  257077 266229 259288 0  293802 288432 269953 0  330527 306678 275901 0  367252 320966 277760 0  403978 331297 276156 0 
 0 0 0 0  36111.9 53000.7 68879.2 0  72223.8 102088 128352 0  108336 147262 179042 0  144448 188522 221573 0  180560 225869 256568 0  216671 259302 284651 0  252783 288822 306445 0  288895 314428 322572 0  325007 336121 333658 0  361119 353901 340325 0  397231 367766 343197 0 
 0 0 0 0  33237.8 49256 65846.7 0  66475.5 94910.2 123021 0  99713.3 136963 172097 0  132951 175413 213648 0  166189 210261 248249 0  199427 241508 276473 0  232664 269153 298894 0  265902 293196 316087 0  299140 313637 328625 0  332378 330476 337082 0  365615 343713 342033 0 
 0 0 0 0  33438.5 44841.4 53121.5 0  66877 86067.6 97996.8 0  100315 123678 135198 0  133754 157674 165299 0  167192 188055 188872 0  200631 214820 206488 0  234069 237970 218722 0  267508 257504 226146 0  300946 273424 229332 0  334385 285728 228853 0  367823 294417 225282 0 
 0 0 0 0  31666.5 42958.3 53851 0  63332.9 82483.6 99811.3 0  94999.4 118576 138425 0  126666 151235 170237 0  158332 180462 195790 0  189999 206255 215629 0  221665 228615 230298 0  253332 247543 240340 0  284998 263037 246301 0  316665 275098 248724 0  348331 283727 248154 0 
 0 0 0 0  36414 50985.4 62749.2 0  72828.1 98019.8 116249 0  109242 141103 161126 0  145656 180235 198007 0  182070 215416 227521 0  218484 246646 250293 0  254898 273924 266952 0  291312 297252 278124 0  327726 316628 284436 0  364140 332053 286516 0  400554 343528 284990 0 
 0 0 0 0  40342.6 51162.1 75575.6 0  80685.2 98029.7 141688 0  121028 140603 199007 0  161370 178881 248201 0  201713 212865 289939 0  242056 242555 324891 0  282398 267950 353725 0  322741 289050 377110 0  363084 305856 395715 0  403426 318368 410210 0  443769 326585 421263 0 
 0 0 0 0  40818.4 55662.6 64834.2 0  81636.7 106966 119532 0  122455 153909 164781 0  163273 196494 201269 0  204092 234718 229684 0  244910 268584 250713 0  285729 298089 265043 0  326547 323236 273363 0  367365 344023 276361 0  408184 360450 274723 0  449002 372518 269137 0 
 0 0 0 0  35480.8 49273.1 58408.9 0  70961.7 94744.2 107830 0  106443 136413 148867 0  141923 174281 182126 0  177404 208346 208208 0  212885 238609 227721 0  248366 265071 241266 0  283847 287730 249449 0  319328 306588 252874 0  354808 321644 252145 0  390289 332897 247866 0 
 0 0 0 0  32833 43740.5 50378.3 0  65666 84001 92763.5 0  98499 120781 127702 0  131332 154082 155740 0  164165 183902 177425 0  196998 210242 193301 0  229831 233102 203916 0  262664 252483 209817 0  295497 268383 211549 0  328330 280803 209658 0  361163 289743 204692 0 
 0 0 0 0  42480.5 57680.5 66265.9 0  84961 110815 121949 0  127441 159404 167768 0  169922 203448 204443 0  212402 242945 232692 0  254883 277897 253234 0  297363 308303 266788 0  339844 334163 274073 0  382324 355478 275809 0  424805 372246 272714 0  467285 384469 265507 0 
 0 0 0 0  28602.6 39043.1 51654.7 0  57205.3 75080.2 96275.2 0  85807.9 108111 134331 0  114411 138136 166292 0  143013 165156 192628 0  171616 189169 213809 0  200219 210176 230303 0  228821 228177 242582 0  257424 243172 251114 0  286026 255161 256369 0  314629 264144 258817 0 
 0 0 0 0  26541.8 36907 49562.9 0  53083.6 70962.5 92515.9 0  79625.5 102166 129310 0  106167 130519 160398 0  132709 156019 186229 0  159251 178669 207255 0  185793 198466 223928 0  212335 215412 236699 0  238876 229506 246019 0  265418 240749 252340 0  291960 249141 256112 0 
 0 0 0 0  35333.2 48103.7 78108.7 0  70666.5 92437 147740 0  106000 133000 209483 0  141333 169793 263928 0  176666 202815 311664 0  211999 232067 353281 0  247333 257548 389369 0  282666 279260 420516 0  317999 297200 447312 0  353332 311371 470347 0  388666 321771 490211 0 
 0 0 0 0  46769.4 61261.4 80003.8 0  93538.8 117497 148918 0  140308 168708 207528 0  187078 214893 256621 0  233847 256053 296981 0  280616 292187 329396 0  327386 323296 354649 0  374155 349379 373529 0  420925 370437 386819 0  467694 386469 395307 0  514464 397476 399777 0 
 0 0 0 0  47619.6 61961.5 79551.9 0  95239.2 118782 147763 0  142859 170461 205440 0  190478 216999 253391 0  238098 258396 292424 0  285718 294652 323345 0  333337 325767 346962 0  380957 351741 364084 0  428577 372574 375516 0  476196 388265 382067 0  523816 398816 384544 0 
 0 0 0 0  49330.7 62702.9 70036.7 0  98661.4 120048 128255 0  147992 172035 175504 0  197323 218663 212632 0  246653 259934 240489 0  295984 295847 259923 0  345315 326402 271783 0  394646 351599 276919 0  443976 371438 276179 0  493307 385919 270412 0  542638 395042 260466 0 
 0 0 0 0  52966.1 67854.3 78270.1 0  105932 129945 143787 0  158898 186272 197465 0  211864 236835 240216 0  264830 281634 272954 0  317796 320669 296592 0  370763 353941 312042 0  423729 381449 320219 0  476695 403193 322035 0  529661 419173 318403 0  582627 429390 310236 0 
 0 0 0 0  40188.6 53936.7 64323.7 0  80377.2 103519 118706 0  120566 148748 163839 0  160754 189622 200410 0  200943 226141 229112 0  241131 258307 250634 0  281320 286119 265666 0  321509 309576 274900 0  361697 328679 279024 0  401886 343428 278730 0  442074 353823 274708 0 
 0 0 0 0  39616.6 54088.5 59407.3 0  79233.1 103847 108837 0  118850 149275 148979 0  158466 190372 180522 0  198083 227140 204155 0  237699 259577 220567 0  277316 287683 230448 0  316932 311460 234486 0  356549 330906 233372 0  396166 346022 227794 0  435782 356808 218441 0 
 0 0 0 0  34055.5 45895.4 51565.8 0  68111 88102.6 94660 0  102166 126622 129869 0  136222 161452 157779 0  170277 192595 178976 0  204333 220049 194046 0  238388 243815 203577 0  272444 263893 208153 0  306499 280282 208362 0  340555 292983 204790 0  374610 301996 198023 0 
 0 0 0 0  32885.3 45166.5 53780.9 0  65770.6 86767.3 99258.1 0  98655.9 124802 136999 0  131541 159272 167571 0  164427 190176 191542 0  197312 217514 209480 0  230197 241286 221951 0  263082 261493 229523 0  295968 278134 232763 0  328853 291209 232240 0  361738 300719 228520 0 
 0 0 0 0  31947.4 46111.3 61150 0  63894.7 88795 114115 0  95842.1 128051 159437 0  127789 163879 197658 0  159737 196280 229320 0  191684 225253 254964 0  223631 250799 275134 0  255579 272916 290370 0  287526 291606 301215 0  319474 306869 308211 0  351421 318704 311900 0 
 0 0 0 0  37005.9 51492.2 86107.3 0  74011.8 98988.9 163223 0  111018 142490 231974 0  148024 181996 292985 0  185029 217507 346884 0  222035 249022 394295 0  259041 276542 435846 0  296047 300066 472162 0  333053 319595 503869 0  370059 335128 531594 0  407065 346666 555962 0 
 0 0 0 0  43954.5 56375.7 74068.5 0  87909 108019 137855 0  131864 154930 192098 0  175818 197110 237537 0  219773 234556 274913 0  263727 267271 304964 0  307682 295254 328429 0  351636 318504 346049 0  395591 337022 358562 0  439545 350808 366708 0  483500 359862 371226 0 
 0 0 0 0  38254.4 50006.4 61084.6 0  76508.8 95825 112834 0  114763 137456 155916 0  153018 174899 191000 0  191272 208154 218754 0  229526 237221 239846 0  267781 262100 254943 0  306035 282791 264716 0  344290 299295 269831 0  382544 311611 270957 0  420798 319738 268763 0 
 0 0 0 0  38417.2 50849 57137.4 0  76834.4 97494.1 104819 0  115252 139935 143712 0  153669 178172 174487 0  192086 212206 197811 0  230503 242035 214353 0  268920 267660 224781 0  307338 289082 229764 0  345755 306299 229970 0  384172 319313 226068 0  422589 328122 218727 0 
 0 0 0 0  38110.5 50482.4 59706.9 0  76221 96810 110052 0  114331 138983 151697 0  152442 177000 185302 0  190552 210863 211528 0  228663 240571 231037 0  266773 266125 244490 0  304884 287523 252547 0  342994 304766 255869 0  381105 317855 255118 0  419215 326788 250955 0 
 0 0 0 0  45817.6 59369.8 69762.6 0  91635.2 113829 128587 0  137453 163379 177244 0  183270 208018 216506 0  229088 247747 247145 0  274906 282566 269933 0  320723 312474 285641 0  366541 337473 295043 0  412359 357561 298908 0  458176 372739 298010 0  503994 383007 293121 0 
 0 0 0 0  40582.2 54330.4 66553.6 0  81164.4 104274 123201 0  121747 149831 170634 0  162329 191001 209546 0  202911 227785 240629 0  243493 260182 264576 0  284075 288192 282079 0  324657 311816 293831 0  365240 331053 300525 0  405822 345903 302853 0  446404 356366 301507 0 
 0 0 0 0  40418.6 51173.9 60336.3 0  80837.3 98006.1 111180 0  121256 140496 153211 0  161675 178645 187112 0  202093 212452 213563 0  242512 241917 233245 0  282930 267041 246839 0  323349 287823 255026 0  363768 304263 258488 0  404186 316361 257905 0  444605 324118 253959 0 
