Virgin_Spawning_Biomass Spawning_Biomass_1971  SpBiom_2004_1 SpBiom_2005_1 SpBiom_2006_1 SpBiom_2007_1  SpBiom_2004_2 SpBiom_2005_2 SpBiom_2006_2 SpBiom_2007_2  SpBiom_2004_3 SpBiom_2005_3 SpBiom_2006_3 SpBiom_2007_3  SpBiom_2004_4 SpBiom_2005_4 SpBiom_2006_4 SpBiom_2007_4  SpBiom_2004_5 SpBiom_2005_5 SpBiom_2006_5 SpBiom_2007_5  SpBiom_2004_6 SpBiom_2005_6 SpBiom_2006_6 SpBiom_2007_6  SpBiom_2004_7 SpBiom_2005_7 SpBiom_2006_7 SpBiom_2007_7  SpBiom_2004_8 SpBiom_2005_8 SpBiom_2006_8 SpBiom_2007_8  SpBiom_2004_9 SpBiom_2005_9 SpBiom_2006_9 SpBiom_2007_9  SpBiom_2004_10 SpBiom_2005_10 SpBiom_2006_10 SpBiom_2007_10  SpBiom_2004_11 SpBiom_2005_11 SpBiom_2006_11 SpBiom_2007_11  SpBiom_2004_12 SpBiom_2005_12 SpBiom_2006_12 SpBiom_2007_12  
8.04949e+006 1.33736e+006  1.18548e+006 1.4092e+006 1.61463e+006 2.09748e+006  1.18548e+006 1.3578e+006 1.49185e+006 1.8924e+006  1.18548e+006 1.30641e+006 1.37436e+006 1.70492e+006  1.18548e+006 1.25501e+006 1.26218e+006 1.53421e+006  1.18548e+006 1.20361e+006 1.1553e+006 1.37947e+006  1.18548e+006 1.15221e+006 1.05372e+006 1.23988e+006  1.18548e+006 1.10081e+006 957441 1.11461e+006  1.18548e+006 1.04942e+006 866459 1.00286e+006  1.18548e+006 998018 780777 903814  1.18548e+006 946620 700395 816645  1.18548e+006 895222 625312 740543  1.18548e+006 843824 555530 674692 
7.11031e+006 1.34959e+006  776861 993886 1.18813e+006 2.54477e+006  776861 959635 1.10618e+006 2.3989e+006  776861 925385 1.0277e+006 2.26457e+006  776861 891134 952681 2.14126e+006  776861 856884 881128 2.02843e+006  776861 822633 813039 1.92557e+006  776861 788383 748414 1.83214e+006  776861 754133 687254 1.74761e+006  776861 719882 629559 1.67146e+006  776861 685632 575328 1.60316e+006  776861 651381 524561 1.54218e+006  776861 617131 477259 1.488e+006 
8.40756e+006 1.37176e+006  686200 858225 1.3893e+006 1.70589e+006  686200 826204 1.3113e+006 1.56547e+006  686200 794184 1.23663e+006 1.43605e+006  686200 762164 1.16529e+006 1.31712e+006  686200 730143 1.09727e+006 1.20819e+006  686200 698123 1.03258e+006 1.10872e+006  686200 666102 971225 1.01821e+006  686200 634082 913194 936159  686200 602062 858491 862043  686200 570041 807116 795353  686200 538021 759069 735580  686200 506000 714350 682210 
8.95122e+006 1.37564e+006  900075 1.06808e+006 2.11757e+006 4.7214e+006  900075 1.02586e+006 2.01638e+006 4.52172e+006  900075 983646 1.91953e+006 4.33612e+006  900075 941428 1.82703e+006 4.16393e+006  900075 899209 1.73889e+006 4.0045e+006  900075 856991 1.65508e+006 3.85715e+006  900075 814772 1.57563e+006 3.72124e+006  900075 772554 1.50053e+006 3.59609e+006  900075 730336 1.42977e+006 3.48105e+006  900075 688117 1.36337e+006 3.37545e+006  900075 645899 1.30131e+006 3.27863e+006  900075 603680 1.2436e+006 3.18992e+006 
9.33124e+006 1.40015e+006  1.15655e+006 1.38287e+006 2.22395e+006 2.52342e+006  1.15655e+006 1.32698e+006 2.09337e+006 2.29362e+006  1.15655e+006 1.27109e+006 1.96858e+006 2.08237e+006  1.15655e+006 1.2152e+006 1.84958e+006 1.88876e+006  1.15655e+006 1.1593e+006 1.73638e+006 1.71192e+006  1.15655e+006 1.10341e+006 1.62896e+006 1.55097e+006  1.15655e+006 1.04752e+006 1.52734e+006 1.40502e+006  1.15655e+006 991627 1.43152e+006 1.27318e+006  1.15655e+006 935735 1.34148e+006 1.15457e+006  1.15655e+006 879842 1.25724e+006 1.04831e+006  1.15655e+006 823950 1.17879e+006 953509  1.15655e+006 768058 1.10613e+006 869288 
9.83498e+006 1.39481e+006  1.21125e+006 1.40075e+006 2.07392e+006 3.03047e+006  1.21125e+006 1.34356e+006 1.94079e+006 2.79816e+006  1.21125e+006 1.28637e+006 1.81361e+006 2.58491e+006  1.21125e+006 1.22918e+006 1.69238e+006 2.3898e+006  1.21125e+006 1.17199e+006 1.57711e+006 2.21192e+006  1.21125e+006 1.1148e+006 1.46779e+006 2.05035e+006  1.21125e+006 1.05761e+006 1.36441e+006 1.90418e+006  1.21125e+006 1.00042e+006 1.26699e+006 1.7725e+006  1.21125e+006 943226 1.17552e+006 1.6544e+006  1.21125e+006 886035 1.09001e+006 1.54896e+006  1.21125e+006 828845 1.01044e+006 1.45526e+006  1.21125e+006 771655 936831 1.37241e+006 
8.60074e+006 1.38487e+006  1.23527e+006 1.48616e+006 1.73453e+006 1.94212e+006  1.23527e+006 1.4266e+006 1.59727e+006 1.71818e+006  1.23527e+006 1.36703e+006 1.46626e+006 1.51422e+006  1.23527e+006 1.30746e+006 1.3415e+006 1.32927e+006  1.23527e+006 1.24789e+006 1.22301e+006 1.16236e+006  1.23527e+006 1.18833e+006 1.11077e+006 1.01253e+006  1.23527e+006 1.12876e+006 1.00478e+006 878822  1.23527e+006 1.06919e+006 905047 760261  1.23527e+006 1.00962e+006 811571 655889  1.23527e+006 950057 724351 564740  1.23527e+006 890490 643386 485852  1.23527e+006 830922 568676 418260 
7.35873e+006 1.42997e+006  1.30868e+006 1.60165e+006 1.92921e+006 2.31896e+006  1.30868e+006 1.53757e+006 1.781e+006 2.07309e+006  1.30868e+006 1.47349e+006 1.63951e+006 1.8488e+006  1.30868e+006 1.40941e+006 1.50476e+006 1.64506e+006  1.30868e+006 1.34533e+006 1.37673e+006 1.46083e+006  1.30868e+006 1.28125e+006 1.25542e+006 1.29506e+006  1.30868e+006 1.21716e+006 1.14085e+006 1.14671e+006  1.30868e+006 1.15308e+006 1.03301e+006 1.01476e+006  1.30868e+006 1.089e+006 931891 898153  1.30868e+006 1.02492e+006 837503 795854  1.30868e+006 960839 749843 706826  1.30868e+006 896758 668911 630027 
7.18893e+006 1.31174e+006  1.0914e+006 1.26606e+006 1.59461e+006 2.37377e+006  1.0914e+006 1.21726e+006 1.47887e+006 2.17705e+006  1.0914e+006 1.16847e+006 1.36822e+006 1.99703e+006  1.0914e+006 1.11967e+006 1.26267e+006 1.83294e+006  1.0914e+006 1.07087e+006 1.16219e+006 1.68398e+006  1.0914e+006 1.02208e+006 1.06681e+006 1.54937e+006  1.0914e+006 973281 976513 1.42832e+006  1.0914e+006 924485 891304 1.32004e+006  1.0914e+006 875688 811183 1.22374e+006  1.0914e+006 826891 736149 1.13864e+006  1.0914e+006 778095 666202 1.06395e+006  1.0914e+006 729298 601344 998883 
8.46272e+006 1.34075e+006  1.09288e+006 1.26537e+006 1.4317e+006 1.80533e+006  1.09288e+006 1.21721e+006 1.31616e+006 1.61483e+006  1.09288e+006 1.16904e+006 1.20569e+006 1.44112e+006  1.09288e+006 1.12087e+006 1.1003e+006 1.28342e+006  1.09288e+006 1.0727e+006 999989 1.14094e+006  1.09288e+006 1.02453e+006 904757 1.01289e+006  1.09288e+006 976366 814603 898473  1.09288e+006 928197 729527 796912  1.09288e+006 880029 649529 707413  1.09288e+006 831861 574610 629188  1.09288e+006 783693 504768 561447  1.09288e+006 735525 440005 503401 
7.23506e+006 1.39929e+006  934403 1.08174e+006 1.29412e+006 1.51643e+006  934403 1.0405e+006 1.19576e+006 1.35392e+006  934403 999258 1.10172e+006 1.20558e+006  934403 958016 1.012e+006 1.07076e+006  934403 916774 926603 948776  934403 875532 845525 838971  934403 834289 768769 740676  934403 793047 696332 653225  934403 751805 628217 575952  934403 710563 564421 508190  934403 669321 504946 449273  934403 628078 449792 398535 
7.72798e+006 1.36593e+006  910453 1.0752e+006 1.26468e+006 2.1525e+006  910453 1.03524e+006 1.16838e+006 1.98861e+006  910453 995291 1.07627e+006 1.83861e+006  910453 955337 988342 1.70185e+006  910453 915384 904594 1.57769e+006  910453 875431 825029 1.46547e+006  910453 835477 749645 1.36454e+006  910453 795524 678443 1.27427e+006  910453 755570 611423 1.19401e+006  910453 715617 548585 1.1231e+006  910453 675663 489929 1.0609e+006  910453 635710 435455 1.00677e+006 
