Virgin_Spawning_Biomass Spawning_Biomass_1971  SpBiom_2004_1 SpBiom_2005_1 SpBiom_2006_1 SpBiom_2007_1  SpBiom_2004_2 SpBiom_2005_2 SpBiom_2006_2 SpBiom_2007_2  SpBiom_2004_3 SpBiom_2005_3 SpBiom_2006_3 SpBiom_2007_3  SpBiom_2004_4 SpBiom_2005_4 SpBiom_2006_4 SpBiom_2007_4  SpBiom_2004_5 SpBiom_2005_5 SpBiom_2006_5 SpBiom_2007_5  SpBiom_2004_6 SpBiom_2005_6 SpBiom_2006_6 SpBiom_2007_6  SpBiom_2004_7 SpBiom_2005_7 SpBiom_2006_7 SpBiom_2007_7  SpBiom_2004_8 SpBiom_2005_8 SpBiom_2006_8 SpBiom_2007_8  SpBiom_2004_9 SpBiom_2005_9 SpBiom_2006_9 SpBiom_2007_9  SpBiom_2004_10 SpBiom_2005_10 SpBiom_2006_10 SpBiom_2007_10  SpBiom_2004_11 SpBiom_2005_11 SpBiom_2006_11 SpBiom_2007_11  SpBiom_2004_12 SpBiom_2005_12 SpBiom_2006_12 SpBiom_2007_12  
6.61084e+006 1.20956e+006  1.29809e+006 1.61866e+006 1.83195e+006 2.04605e+006  1.29809e+006 1.56122e+006 1.69478e+006 1.81705e+006  1.29809e+006 1.50379e+006 1.56347e+006 1.60758e+006  1.29809e+006 1.44635e+006 1.43802e+006 1.41675e+006  1.29809e+006 1.38892e+006 1.31843e+006 1.24364e+006  1.29809e+006 1.33148e+006 1.20471e+006 1.08737e+006  1.29809e+006 1.27405e+006 1.09686e+006 947043  1.29809e+006 1.21662e+006 994867 821750  1.29809e+006 1.15918e+006 898739 710597  1.29809e+006 1.10175e+006 808475 612686  1.29809e+006 1.04431e+006 724075 527118  1.29809e+006 986878 645539 452995 
6.65967e+006 1.29435e+006  846282 1.09645e+006 1.37166e+006 1.85075e+006  846282 1.0584e+006 1.27976e+006 1.69123e+006  846282 1.02035e+006 1.19174e+006 1.54469e+006  846282 982304 1.10761e+006 1.41055e+006  846282 944257 1.02736e+006 1.28819e+006  846282 906210 950991 1.17703e+006  846282 868162 878507 1.07648e+006  846282 830115 809906 985939  846282 792068 745188 904811  846282 754021 684352 832504  846282 715974 627400 768423  846282 677927 574330 711974 
6.78074e+006 1.27512e+006  985590 1.23213e+006 1.4579e+006 1.63838e+006  985590 1.18921e+006 1.35288e+006 1.46059e+006  985590 1.14628e+006 1.25229e+006 1.29777e+006  985590 1.10336e+006 1.15614e+006 1.14925e+006  985590 1.06044e+006 1.06442e+006 1.01433e+006  985590 1.01752e+006 977139 892345  985590 974594 894295 782599  985590 931671 815887 684409  985590 888749 741916 597094  985590 845826 672380 519969  985590 802904 607282 452351  985590 759981 546619 393555 
6.47564e+006 1.33418e+006  800543 1.0181e+006 1.23477e+006 1.67517e+006  800543 983276 1.14869e+006 1.52624e+006  800543 948457 1.06623e+006 1.3896e+006  800543 913638 987367 1.26467e+006  800543 878818 912118 1.15091e+006  800543 843999 840480 1.04774e+006  800543 809179 772451 954629  800543 774360 708032 871000  800543 739540 647223 796299  800543 704721 590024 729969  800543 669901 536434 671451  800543 635082 486455 620186 
6.3248e+006 1.21003e+006  830257 1.02646e+006 1.38679e+006 1.65622e+006  830257 990342 1.2983e+006 1.50287e+006  830257 954226 1.21354e+006 1.36206e+006  830257 918110 1.13252e+006 1.2332e+006  830257 881994 1.05522e+006 1.11574e+006  830257 845878 981659 1.0091e+006  830257 809762 911830 912690  830257 773646 845734 825950  830257 737530 783370 748301  830257 701414 724739 679170  830257 665298 669841 617981  830257 629182 618675 564161 
6.60306e+006 1.26024e+006  859164 1.01774e+006 1.67856e+006 2.80682e+006  859164 977949 1.583e+006 2.63263e+006  859164 938159 1.49161e+006 2.47205e+006  859164 898368 1.4044e+006 2.32443e+006  859164 858578 1.32137e+006 2.18914e+006  859164 818787 1.24251e+006 2.06553e+006  859164 778997 1.16782e+006 1.95296e+006  859164 739206 1.09731e+006 1.85078e+006  859164 699416 1.03097e+006 1.75836e+006  859164 659625 968814 1.67505e+006  859164 619835 910828 1.60021e+006  859164 580044 857017 1.5332e+006 
6.91606e+006 1.24447e+006  714313 874187 1.44466e+006 1.63371e+006  714313 840691 1.36439e+006 1.48992e+006  714313 807194 1.28761e+006 1.3575e+006  714313 773698 1.2143e+006 1.23592e+006  714313 740201 1.14447e+006 1.12464e+006  714313 706705 1.07812e+006 1.02313e+006  714313 673208 1.01525e+006 930853  714313 639712 955857 847282  714313 606215 899943 771882  714313 572719 847507 704117  714313 539223 798549 643456  714313 505726 753070 589364 
7.3577e+006 1.27575e+006  943031 1.1592e+006 1.63365e+006 1.91056e+006  943031 1.11514e+006 1.52924e+006 1.72997e+006  943031 1.07109e+006 1.42938e+006 1.56423e+006  943031 1.02703e+006 1.33409e+006 1.41266e+006  943031 982975 1.24335e+006 1.27454e+006  943031 938919 1.15718e+006 1.1492e+006  943031 894864 1.07556e+006 1.03592e+006  943031 850809 998499 934006  943031 806753 925998 842769  943031 762698 858057 761509  943031 718643 794674 689527  943031 674587 735850 626126 
8.47116e+006 1.31292e+006  1.00946e+006 1.20218e+006 1.50149e+006 3.78273e+006  1.00946e+006 1.15364e+006 1.39181e+006 3.59138e+006  1.00946e+006 1.10509e+006 1.28713e+006 3.41576e+006  1.00946e+006 1.05655e+006 1.18747e+006 3.25511e+006  1.00946e+006 1.008e+006 1.09281e+006 3.10865e+006  1.00946e+006 959459 1.00316e+006 2.97564e+006  1.00946e+006 910915 918528 2.8553e+006  1.00946e+006 862371 838901 2.74689e+006  1.00946e+006 813827 764283 2.64963e+006  1.00946e+006 765282 694675 2.56277e+006  1.00946e+006 716738 630076 2.48555e+006  1.00946e+006 668194 570486 2.41721e+006 
8.50869e+006 1.44068e+006  969128 1.11868e+006 1.41251e+006 1.98967e+006  969128 1.07098e+006 1.30745e+006 1.81761e+006  969128 1.02329e+006 1.20731e+006 1.66065e+006  969128 975589 1.11209e+006 1.51804e+006  969128 927892 1.0218e+006 1.38902e+006  969128 880195 936425 1.27287e+006  969128 832498 855975 1.16883e+006  969128 784801 780447 1.07616e+006  969128 737104 709842 994122  969128 689407 644159 921962  969128 641709 583398 858939  969128 594012 527559 804310 
7.08565e+006 1.36246e+006  704117 810846 1.05314e+006 1.34107e+006  704117 775610 975193 1.21292e+006  704117 740373 900925 1.09607e+006  704117 705136 830334 989975  704117 669900 763420 894066  704117 634663 700183 807785  704117 599426 640623 730569  704117 564189 584739 661859  704117 528953 532533 601092  704117 493716 484003 547708  704117 458479 439151 501146  704117 423243 397975 460846 
6.75432e+006 1.38106e+006  604057 703703 912292 1.10032e+006  604057 673624 845295 990274  604057 643544 781438 889922  604057 613464 720721 798786  604057 583384 663143 716387  604057 553304 608705 642246  604057 523224 557406 575885  604057 493144 509247 516826  604057 463064 464227 464590  604057 432984 422347 418698  604057 402904 383606 378674  604057 372824 348005 344037 
7.07682e+006 1.31503e+006  634500 771398 1.06201e+006 1.1977e+006  634500 740374 990736 1.07714e+006  634500 709350 922694 966808  634500 678327 857882 866198  634500 647303 796300 774822  634500 616279 737948 692188  634500 585255 682827 617804  634500 554231 630936 551176  634500 523208 582275 491814  634500 492184 536844 439223  634500 461160 494644 392913  634500 430136 455674 352390 
8.30238e+006 1.25272e+006  795118 926113 1.23184e+006 4.63036e+006  795118 887352 1.14627e+006 4.47261e+006  795118 848590 1.06465e+006 4.32702e+006  795118 809829 986991 4.19299e+006  795118 771068 913285 4.06994e+006  795118 732306 843532 3.95727e+006  795118 693545 777733 3.85438e+006  795118 654783 715889 3.76069e+006  795118 616022 657999 3.6756e+006  795118 577260 604062 3.59852e+006  795118 538499 554080 3.52886e+006  795118 499738 508052 3.46601e+006 
7.37188e+006 1.28156e+006  805268 915401 1.27657e+006 1.88477e+006  805268 877772 1.19002e+006 1.73677e+006  805268 840143 1.10737e+006 1.60116e+006  805268 802514 1.02864e+006 1.47735e+006  805268 764884 953820 1.36474e+006  805268 727255 882912 1.26275e+006  805268 689626 815917 1.17076e+006  805268 651997 752834 1.08818e+006  805268 614368 693663 1.01443e+006  805268 576739 638404 948891  805268 539110 587057 890980  805268 501481 539623 840096 
7.27678e+006 1.31667e+006  805274 928040 1.31267e+006 1.67301e+006  805274 890408 1.22468e+006 1.52193e+006  805274 852776 1.14065e+006 1.38353e+006  805274 815143 1.06056e+006 1.25718e+006  805274 777511 984408 1.14229e+006  805274 739879 912203 1.03825e+006  805274 702247 843943 944453  805274 664614 779627 860292  805274 626982 719254 785161  805274 589350 662826 718455  805274 551718 610342 659566  805274 514085 561802 607888 
8.58503e+006 1.34998e+006  826143 944521 1.29632e+006 1.8664e+006  826143 905444 1.20692e+006 1.71434e+006  826143 866367 1.12158e+006 1.57511e+006  826143 827290 1.0403e+006 1.44811e+006  826143 788212 963083 1.3327e+006  826143 749135 889928 1.22828e+006  826143 710058 820836 1.13422e+006  826143 670981 755806 1.04989e+006  826143 631904 694838 974686  826143 592827 637932 907979  826143 553750 585088 849149  826143 514673 536306 797577 
7.16483e+006 1.41802e+006  889371 1.00436e+006 1.83099e+006 2.39318e+006  889371 964671 1.73544e+006 2.22e+006  889371 924982 1.64399e+006 2.06019e+006  889371 885293 1.55664e+006 1.91313e+006  889371 845603 1.4734e+006 1.77818e+006  889371 805914 1.39425e+006 1.65473e+006  889371 766225 1.3192e+006 1.54214e+006  889371 726536 1.24825e+006 1.43979e+006  889371 686847 1.1814e+006 1.34705e+006  889371 647158 1.11865e+006 1.26331e+006  889371 607468 1.06e+006 1.18792e+006  889371 567779 1.00545e+006 1.12028e+006 
6.43764e+006 1.50319e+006  1.01898e+006 1.16829e+006 1.70016e+006 2.43226e+006  1.01898e+006 1.12452e+006 1.59341e+006 2.2453e+006  1.01898e+006 1.08074e+006 1.49121e+006 2.07351e+006  1.01898e+006 1.03696e+006 1.39356e+006 1.9162e+006  1.01898e+006 993186 1.30047e+006 1.77266e+006  1.01898e+006 949409 1.21193e+006 1.64219e+006  1.01898e+006 905632 1.12794e+006 1.52409e+006  1.01898e+006 861855 1.0485e+006 1.41766e+006  1.01898e+006 818077 973617 1.3222e+006  1.01898e+006 774300 903285 1.23701e+006  1.01898e+006 730523 837505 1.16138e+006  1.01898e+006 686746 776278 1.09461e+006 
6.35602e+006 1.43847e+006  1.10971e+006 1.25155e+006 1.88642e+006 2.97806e+006  1.10971e+006 1.20266e+006 1.76868e+006 2.77072e+006  1.10971e+006 1.15377e+006 1.65606e+006 2.58019e+006  1.10971e+006 1.10488e+006 1.54856e+006 2.40566e+006  1.10971e+006 1.05599e+006 1.44618e+006 2.24636e+006  1.10971e+006 1.0071e+006 1.34892e+006 2.10149e+006  1.10971e+006 958204 1.25678e+006 1.97026e+006  1.10971e+006 909313 1.16977e+006 1.85189e+006  1.10971e+006 860422 1.08787e+006 1.74559e+006  1.10971e+006 811530 1.0111e+006 1.65057e+006  1.10971e+006 762639 939443 1.56604e+006  1.10971e+006 713747 872911 1.49121e+006 
6.63184e+006 1.37205e+006  1.01203e+006 1.16816e+006 1.55187e+006 1.71242e+006  1.01203e+006 1.12329e+006 1.44407e+006 1.53082e+006  1.01203e+006 1.07843e+006 1.34098e+006 1.36473e+006  1.01203e+006 1.03356e+006 1.24261e+006 1.21341e+006  1.01203e+006 988695 1.14894e+006 1.07614e+006  1.01203e+006 943829 1.05999e+006 952189  1.01203e+006 898962 975750 840831  1.01203e+006 854096 896220 741337  1.01203e+006 809229 821402 652980  1.01203e+006 764363 751296 575032  1.01203e+006 719496 685901 506764  1.01203e+006 674630 625218 447450 
7.29251e+006 1.33285e+006  1.01636e+006 1.18899e+006 1.62967e+006 2.00213e+006  1.01636e+006 1.14304e+006 1.5199e+006 1.81433e+006  1.01636e+006 1.09708e+006 1.41494e+006 1.64229e+006  1.01636e+006 1.05113e+006 1.3148e+006 1.48525e+006  1.01636e+006 1.00518e+006 1.21947e+006 1.34249e+006  1.01636e+006 959223 1.12895e+006 1.21325e+006  1.01636e+006 913270 1.04324e+006 1.0968e+006  1.01636e+006 867316 962337 992393  1.01636e+006 821363 886250 899291  1.01636e+006 775410 814975 816752  1.01636e+006 729456 748511 744035  1.01636e+006 683503 686859 680397 
6.61385e+006 1.27498e+006  883797 1.03067e+006 1.62759e+006 1.84924e+006  883797 990211 1.53026e+006 1.67815e+006  883797 949757 1.43719e+006 1.52096e+006  883797 909302 1.34836e+006 1.37703e+006  883797 868848 1.26379e+006 1.2457e+006  883797 828394 1.18347e+006 1.12632e+006  883797 787939 1.10739e+006 1.01822e+006  883797 747485 1.03557e+006 920752  883797 707031 967995 833264  883797 666576 904671 755097  883797 626122 845597 685595  883797 585667 790773 624104 
7.17262e+006 1.24957e+006  762940 879145 1.1198e+006 1.34623e+006  762940 844051 1.03799e+006 1.21031e+006  762940 808957 959845 1.08622e+006  762940 773864 885378 973385  762940 738770 814585 871249  762940 703677 747465 779242  762940 668583 684020 696798  762940 633489 624249 623352  762940 598396 568153 558338  762940 563302 515730 501189  762940 528208 466982 451340  762940 493115 421907 408224 
6.77986e+006 1.28911e+006  982854 1.1048e+006 1.60689e+006 1.92551e+006  982854 1.06193e+006 1.50489e+006 1.75094e+006  982854 1.01907e+006 1.40732e+006 1.59087e+006  982854 976202 1.31418e+006 1.44464e+006  982854 933336 1.22547e+006 1.31155e+006  982854 890470 1.14118e+006 1.19093e+006  982854 847605 1.06133e+006 1.08211e+006  982854 804739 985908 984392  982854 761873 914914 897106  982854 719007 848350 819572  982854 676141 786214 751108  982854 633276 728509 691035 
7.66507e+006 1.27769e+006  1.04206e+006 1.18184e+006 1.62228e+006 1.95562e+006  1.04206e+006 1.1365e+006 1.5133e+006 1.76973e+006  1.04206e+006 1.09116e+006 1.40904e+006 1.59943e+006  1.04206e+006 1.04582e+006 1.30951e+006 1.44401e+006  1.04206e+006 1.00048e+006 1.2147e+006 1.30274e+006  1.04206e+006 955140 1.12462e+006 1.17488e+006  1.04206e+006 909800 1.03926e+006 1.05971e+006  1.04206e+006 864459 958627 956491  1.04206e+006 819119 882721 864507  1.04206e+006 773779 811540 783025  1.04206e+006 728439 745085 711316  1.04206e+006 683099 683355 648652 
6.74705e+006 1.41155e+006  997167 1.14575e+006 1.4925e+006 2.23524e+006  997167 1.10321e+006 1.3885e+006 2.05581e+006  997167 1.06066e+006 1.28893e+006 1.89131e+006  997167 1.01812e+006 1.19382e+006 1.74105e+006  997167 975579 1.10315e+006 1.60433e+006  997167 933037 1.01692e+006 1.48047e+006  997167 890494 935145 1.36878e+006  997167 847952 857813 1.26857e+006  997167 805409 784928 1.17915e+006  997167 762867 716488 1.09983e+006  997167 720324 652495 1.02992e+006  997167 677782 592947 968735 
6.68464e+006 1.38689e+006  847635 977230 1.2253e+006 1.32944e+006  847635 939970 1.1359e+006 1.18049e+006  847635 902711 1.05041e+006 1.04443e+006  847635 865451 968825 920656  847635 828192 891138 808561  847635 790932 817354 707543  847635 753673 747471 616997  847635 716413 681490 536319  847635 679154 619411 464906  847635 641894 561235 402153  847635 604635 506960 347455  847635 567375 456587 300209 
7.40085e+006 1.34841e+006  813366 972742 1.16369e+006 1.43059e+006  813366 937252 1.07692e+006 1.28428e+006  813366 901763 993875 1.1505e+006  813366 866273 914562 1.02868e+006  813366 830784 838979 918230  813366 795294 767124 818572  813366 759805 699000 729128  813366 724315 634604 649318  813366 688826 573939 578560  813366 653336 517003 516275  813366 617847 463796 461882  813366 582357 414319 414802 
7.31163e+006 1.49239e+006  1.14295e+006 1.31802e+006 1.48473e+006 2.16971e+006  1.14295e+006 1.26442e+006 1.36203e+006 1.96934e+006  1.14295e+006 1.21083e+006 1.24493e+006 1.78683e+006  1.14295e+006 1.15724e+006 1.13345e+006 1.62131e+006  1.14295e+006 1.10365e+006 1.02758e+006 1.47192e+006  1.14295e+006 1.05005e+006 927320 1.3378e+006  1.14295e+006 996461 832675 1.21809e+006  1.14295e+006 942868 743642 1.11191e+006  1.14295e+006 889276 660221 1.01842e+006  1.14295e+006 835683 582412 936731  1.14295e+006 782091 510217 865995  1.14295e+006 728498 443633 805343 
7.69134e+006 1.37094e+006  951251 1.09092e+006 1.27095e+006 1.71659e+006  951251 1.04982e+006 1.1713e+006 1.55042e+006  951251 1.00873e+006 1.07599e+006 1.39869e+006  951251 967641 985014 1.26075e+006  951251 926549 898371 1.13591e+006  951251 885458 816063 1.02349e+006  951251 844366 738090 922833  951251 803274 664452 833254  951251 762183 595148 754080  951251 721091 530178 684638  951251 679999 469544 624253  951251 638908 413243 572251 
7.60401e+006 1.31991e+006  864659 982088 1.23795e+006 1.35793e+006  864659 942348 1.14396e+006 1.2027e+006  864659 902608 1.0542e+006 1.0612e+006  864659 862868 968680 932766  864659 823128 887394 816743  864659 783388 810344 712471  864659 743648 737529 619290  864659 703908 668949 536543  864659 664168 604605 463569  864659 624428 544496 399710  864659 584688 488622 344308  864659 544948 436983 296704 
7.09091e+006 1.32509e+006  1.14479e+006 1.29353e+006 1.67566e+006 2.23748e+006  1.14479e+006 1.24162e+006 1.55341e+006 2.03266e+006  1.14479e+006 1.18972e+006 1.43663e+006 1.84552e+006  1.14479e+006 1.13782e+006 1.32532e+006 1.6752e+006  1.14479e+006 1.08592e+006 1.21948e+006 1.52086e+006  1.14479e+006 1.03401e+006 1.11911e+006 1.38166e+006  1.14479e+006 982109 1.0242e+006 1.25675e+006  1.14479e+006 930206 934768 1.14529e+006  1.14479e+006 878303 850801 1.04644e+006  1.14479e+006 826400 772303 959353  1.14479e+006 774496 699274 883187  1.14479e+006 722593 631714 817097 
7.02064e+006 1.293e+006  974081 1.12372e+006 1.33607e+006 1.95803e+006  974081 1.08151e+006 1.23343e+006 1.78556e+006  974081 1.03929e+006 1.13526e+006 1.62795e+006  974081 997070 1.04155e+006 1.48449e+006  974081 954852 952301 1.3545e+006  974081 912635 867514 1.23728e+006  974081 870417 787189 1.13214e+006  974081 828199 711327 1.03839e+006  974081 785981 639926 955336  974081 743764 572987 882280  974081 701546 510511 818533  974081 659328 452496 763401 
7.94453e+006 1.2361e+006  1.31761e+006 1.49494e+006 1.77245e+006 2.53245e+006  1.31761e+006 1.43417e+006 1.63031e+006 2.29852e+006  1.31761e+006 1.3734e+006 1.49464e+006 2.08533e+006  1.31761e+006 1.31263e+006 1.36542e+006 1.89188e+006  1.31761e+006 1.25186e+006 1.24265e+006 1.71718e+006  1.31761e+006 1.1911e+006 1.12635e+006 1.56021e+006  1.31761e+006 1.13033e+006 1.0165e+006 1.41999e+006  1.31761e+006 1.06956e+006 913112 1.2955e+006  1.31761e+006 1.00879e+006 816180 1.18576e+006  1.31761e+006 948025 725706 1.08977e+006  1.31761e+006 887257 641689 1.00651e+006  1.31761e+006 826489 564130 935000 
1.05831e+007 1.36167e+006  983971 1.12698e+006 1.31444e+006 1.57779e+006  983971 1.08233e+006 1.20918e+006 1.40604e+006  983971 1.03768e+006 1.10865e+006 1.24961e+006  983971 993025 1.01285e+006 1.10776e+006  983971 948373 921766 979755  983971 903722 835415 864874  983971 859070 753790 762380  983971 814419 676891 671541  983971 769767 604720 591626  983971 725116 537276 521902  983971 680464 474559 461638  983971 635813 416568 410102 
9.79877e+006 1.35314e+006  1.05236e+006 1.20528e+006 1.35296e+006 1.75182e+006  1.05236e+006 1.15814e+006 1.2427e+006 1.57221e+006  1.05236e+006 1.111e+006 1.13738e+006 1.40858e+006  1.05236e+006 1.06386e+006 1.03698e+006 1.26015e+006  1.05236e+006 1.01672e+006 941518 1.12617e+006  1.05236e+006 969579 850983 1.00588e+006  1.05236e+006 922438 765378 898516  1.05236e+006 875297 684703 803325  1.05236e+006 828156 608958 719542  1.05236e+006 781015 538143 646410  1.05236e+006 733875 472257 583167  1.05236e+006 686734 411302 529054 
1.07122e+007 1.43787e+006  1.14586e+006 1.30464e+006 1.43483e+006 1.64925e+006  1.14586e+006 1.25304e+006 1.31573e+006 1.45796e+006  1.14586e+006 1.20143e+006 1.20199e+006 1.28387e+006  1.14586e+006 1.14983e+006 1.0936e+006 1.12614e+006  1.14586e+006 1.09822e+006 990563 983966  1.14586e+006 1.04662e+006 892881 856523  1.14586e+006 995011 800554 742990  1.14586e+006 943406 713581 642546  1.14586e+006 891801 631963 554371  1.14586e+006 840196 555698 477644  1.14586e+006 788591 484788 411545  1.14586e+006 736986 419232 355252 
1.03925e+007 1.37629e+006  1.11097e+006 1.27275e+006 1.38944e+006 1.60197e+006  1.11097e+006 1.22104e+006 1.27072e+006 1.41211e+006  1.11097e+006 1.16933e+006 1.15744e+006 1.23959e+006  1.11097e+006 1.11762e+006 1.0496e+006 1.08355e+006  1.11097e+006 1.06591e+006 947181 943159  1.11097e+006 1.0142e+006 850199 817585  1.11097e+006 962489 758651 705986  1.11097e+006 910778 672536 607525  1.11097e+006 859067 591854 521362  1.11097e+006 807356 516605 446659  1.11097e+006 755645 446789 382579  1.11097e+006 703934 382406 328283 
1.01027e+007 1.33243e+006  1.13654e+006 1.30896e+006 1.43301e+006 2.28558e+006  1.13654e+006 1.25587e+006 1.31138e+006 2.08687e+006  1.13654e+006 1.20279e+006 1.19533e+006 1.90589e+006  1.13654e+006 1.14971e+006 1.08483e+006 1.74177e+006  1.13654e+006 1.09663e+006 979906 1.59365e+006  1.13654e+006 1.04354e+006 880544 1.46069e+006  1.13654e+006 990461 786746 1.34201e+006  1.13654e+006 937379 698514 1.23677e+006  1.13654e+006 884296 615847 1.14411e+006  1.13654e+006 831213 538744 1.06317e+006  1.13654e+006 778131 467207 993101  1.13654e+006 725048 401234 933036 
1.04331e+007 1.38433e+006  1.02822e+006 1.18846e+006 1.31277e+006 1.44995e+006  1.02822e+006 1.14015e+006 1.20168e+006 1.27205e+006  1.02822e+006 1.09183e+006 1.09568e+006 1.11039e+006  1.02822e+006 1.04352e+006 994770 964181  1.02822e+006 995208 898949 832638  1.02822e+006 946894 808218 714974  1.02822e+006 898581 722576 610403  1.02822e+006 850267 642023 518138  1.02822e+006 801954 566560 437393  1.02822e+006 753640 496186 367380  1.02822e+006 705327 430901 307315  1.02822e+006 657013 370706 256409 
1.06889e+007 1.45897e+006  1.03119e+006 1.18434e+006 1.32239e+006 1.62408e+006  1.03119e+006 1.13513e+006 1.21054e+006 1.44472e+006  1.03119e+006 1.08592e+006 1.10387e+006 1.28171e+006  1.03119e+006 1.03671e+006 1.00238e+006 1.13427e+006  1.03119e+006 987507 906079 1.00158e+006  1.03119e+006 938300 814959 882860  1.03119e+006 889093 729022 777300  1.03119e+006 839886 648267 684104  1.03119e+006 790678 572696 602471  1.03119e+006 741471 502308 531604  1.03119e+006 692264 437103 470703  1.03119e+006 643057 377080 418968 
1.04814e+007 1.37539e+006  991243 1.15997e+006 1.3142e+006 2.2008e+006  991243 1.11497e+006 1.20805e+006 2.02287e+006  991243 1.06997e+006 1.10662e+006 1.86036e+006  991243 1.02497e+006 1.00992e+006 1.71252e+006  991243 979968 917953 1.57863e+006  991243 934967 830714 1.45796e+006  991243 889966 748205 1.34978e+006  991243 844965 670425 1.25335e+006  991243 799963 597375 1.16794e+006  991243 754962 529054 1.09283e+006  991243 709961 465463 1.02728e+006  991243 664960 406601 970554 
1.0602e+007 1.3827e+006  938418 1.10426e+006 1.2455e+006 1.51583e+006  938418 1.06294e+006 1.14608e+006 1.35144e+006  938418 1.02162e+006 1.05101e+006 1.20146e+006  938418 980306 960269 1.06521e+006  938418 938988 873869 942022  938418 897670 791807 831221  938418 856352 714083 732134  938418 815034 640697 644086  938418 773716 571649 566405  938418 732398 506939 498418  938418 691080 446567 439450  938418 649762 390533 388829 
1.03784e+007 1.38569e+006  1.17098e+006 1.41621e+006 1.69404e+006 2.52585e+006  1.17098e+006 1.36516e+006 1.56919e+006 2.31223e+006  1.17098e+006 1.31411e+006 1.44969e+006 2.11657e+006  1.17098e+006 1.26306e+006 1.33552e+006 1.93802e+006  1.17098e+006 1.21201e+006 1.22668e+006 1.77576e+006  1.17098e+006 1.16096e+006 1.12319e+006 1.62896e+006  1.17098e+006 1.10991e+006 1.02503e+006 1.4968e+006  1.17098e+006 1.05886e+006 932210 1.37845e+006  1.17098e+006 1.00781e+006 844727 1.27308e+006  1.17098e+006 956756 762581 1.17986e+006  1.17098e+006 905704 685773 1.09798e+006  1.17098e+006 854653 614302 1.02659e+006 
9.95384e+006 1.43182e+006  1.06784e+006 1.32162e+006 1.69241e+006 1.91615e+006  1.06784e+006 1.27425e+006 1.5755e+006 1.71595e+006  1.06784e+006 1.22688e+006 1.46356e+006 1.53251e+006  1.06784e+006 1.17951e+006 1.35659e+006 1.36506e+006  1.06784e+006 1.13214e+006 1.25458e+006 1.21282e+006  1.06784e+006 1.08477e+006 1.15755e+006 1.07503e+006  1.06784e+006 1.0374e+006 1.06548e+006 950920  1.06784e+006 990028 978374 839712  1.06784e+006 942658 896240 740638  1.06784e+006 895288 819073 652930  1.06784e+006 847918 746874 575816  1.06784e+006 800548 679643 508526 
9.82956e+006 1.53593e+006  1.01547e+006 1.22082e+006 1.49082e+006 2.30299e+006  1.01547e+006 1.17649e+006 1.38175e+006 2.11553e+006  1.01547e+006 1.13215e+006 1.27734e+006 1.94378e+006  1.01547e+006 1.08781e+006 1.1776e+006 1.787e+006  1.01547e+006 1.04347e+006 1.08254e+006 1.64448e+006  1.01547e+006 999133 992139 1.51549e+006  1.01547e+006 954795 906411 1.3993e+006  1.01547e+006 910456 825354 1.2952e+006  1.01547e+006 866118 748966 1.20245e+006  1.01547e+006 821780 677248 1.12034e+006  1.01547e+006 777441 610200 1.04813e+006  1.01547e+006 733103 547822 985112 
1.05211e+007 1.50911e+006  959374 1.20811e+006 1.49071e+006 1.75241e+006  959374 1.1646e+006 1.38305e+006 1.56852e+006  959374 1.12108e+006 1.28001e+006 1.4002e+006  959374 1.07757e+006 1.18159e+006 1.24675e+006  959374 1.03406e+006 1.08778e+006 1.10745e+006  959374 990550 998598 981565  959374 947039 914029 868384  959374 903527 834079 767185  959374 860016 758747 677247  959374 816504 688033 597851  959374 772993 621937 528276  959374 729481 560460 467802 
1.06567e+007 1.53237e+006  873748 1.13582e+006 1.41615e+006 1.88325e+006  873748 1.09672e+006 1.31614e+006 1.70785e+006  873748 1.05763e+006 1.22032e+006 1.54697e+006  873748 1.01854e+006 1.12869e+006 1.39993e+006  873748 979441 1.04124e+006 1.26609e+006  873748 940347 957986 1.14479e+006  873748 901253 878915 1.03536e+006  873748 862159 804031 937151  873748 823065 733333 849497  873748 783971 666823 771742  873748 744876 604501 703227  873748 705782 546365 643292 
1.0682e+007 1.49803e+006  977242 1.20627e+006 1.56922e+006 1.91047e+006  977242 1.16514e+006 1.46602e+006 1.73046e+006  977242 1.12401e+006 1.36707e+006 1.56509e+006  977242 1.08288e+006 1.27237e+006 1.4137e+006  977242 1.04175e+006 1.18191e+006 1.27562e+006  977242 1.00063e+006 1.0957e+006 1.1502e+006  977242 959498 1.01374e+006 1.03679e+006  977242 918369 936022 934716  977242 877241 862550 843334  977242 836112 793324 761982  977242 794984 728344 690004  977242 753855 667610 626742 
7.73863e+006 1.42748e+006  981937 1.18823e+006 1.46885e+006 1.70076e+006  981937 1.14684e+006 1.36619e+006 1.52539e+006  981937 1.10545e+006 1.26782e+006 1.36465e+006  981937 1.06406e+006 1.17373e+006 1.21788e+006  981937 1.02267e+006 1.08393e+006 1.08442e+006  981937 981278 998411 963588  981937 939888 917183 854739  981937 898498 840242 757203  981937 857108 767589 670317  981937 815718 699222 593418  981937 774329 635142 525842  981937 732939 575349 466926 
